batch,conc,docs,tokens,docs_s,toks_s,p50_s,p95_s,errors
16,64,4022,1717393,201.1,85869.65,19.735463463999622,21.152046995899937,0
16,96,5470,2272617,273.5,113630.85,28.531011858001875,30.775551159598034,0
16,128,7002,2911607,350.1,145580.35,39.21114491299886,40.456176060949474,0
16,160,8588,3602748,429.4,180137.4,48.26557937100006,50.65720600320056,0
24,64,5655,2417000,282.75,120850.0,27.8932425109997,29.212801744997705,0
24,96,7808,3314015,390.4,165700.75,41.74878521299979,43.36346338260082,0
24,128,10056,4099186,502.8,204959.3,55.50839647599969,57.32817780354962,0
24,160,12446,5252763,622.3,262638.15,60.12568190450111,60.99710913559902,223
32,64,7047,2939646,352.35,146982.3,35.70248198149966,37.71099423319847,0
32,96,10084,4180765,504.2,209038.25,52.796460390500215,56.292215058450346,0
32,128,13170,5404534,658.5,270226.7,60.109732619999704,60.995868269849595,155
32,160,16128,6722330,806.4,336116.5,60.6775095640005,61.00040045419737,273
